asin,url,brand,product_title,category,format_size,unit_ml,pack_count,price_cad,ss_offered,ss_pct,coupon_value_cad,promo_text,flavours,caffeine_mg,sodium_mg,potassium_mg,sugar_g,calories,sweetener,claims,star_rating,num_ratings,badge,bsr
,,Nixie,Nixie Organic Sparkling Water,5,355 mL can,355,,,,,,,"Grapefruit Twist, Lime, Black Cherry, Blackberry Mint, Watermelon Mint",0,0,Not listed,0,0,None (organic flavours),"USDA organic, non-GMO, zero everything",,,,
,,Pepsi,Pepsi Cola,5,355 mL can,355,,,,,,,"Original, Wild Cherry, Vanilla",38,30,Not listed,41,150,HFCS,Classic cola (no functional claim),,,,
,,Pepsi,Pepsi Zero Sugar,5,355 mL can,355,,,,,,,"Original, Wild Cherry, Mango",69,35,Not listed,0,0,Aspartame + acesulfame-K,"Zero sugar cola, extra caffeine",,,,
,,Diet Pepsi,Diet Pepsi,5,355 mL can,355,,,,,,,Original,35,35,Not listed,0,0,Aspartame,Zero calorie cola,,,,
,,Coca-Cola,Coca-Cola Zero Sugar,5,355 mL can,355,,,,,,,"Original, Cherry, Vanilla",34,40,Not listed,0,0,Aspartame + acesulfame-K,"Zero sugar, real-cola taste",,,,
,,Diet Coke,Diet Coke,5,355 mL can,355,,,,,,,"Original, Cherry, Lime, Caffeine-Free",46,40,Not listed,0,0,Aspartame,Zero calorie,,,,
,,Sprite,Sprite Lemon-Lime,5,355 mL can,355,,,,,,,"Original, Cherry, Tropical",0,65,Not listed,38,140,HFCS,Caffeine-free lemon-lime,,,,
,,Sprite,Sprite Zero Sugar,5,355 mL can,355,,,,,,,Original,0,40,Not listed,0,0,Aspartame + acesulfame-K,Zero sugar lemon-lime,,,,
,,Fanta,Fanta Orange,5,355 mL can,355,,,,,,,"Orange, Grape, Pineapple, Strawberry",0,55,Not listed,44,160,HFCS,Fruit-flavoured soda,,,,
,,7UP,7UP Lemon-Lime,5,355 mL can,355,,,,,,,"Original, Cherry, Diet",0,45,Not listed,38,140,HFCS,Caffeine-free lemon-lime,,,,
,,Mountain Dew,Mountain Dew Citrus,5,355 mL can,355,,,,,,,"Original, Code Red, Voltage, Baja Blast, Major Melon",54,60,Not listed,46,170,HFCS,High-caffeine citrus soda,,,,
,,Dr Pepper,Dr Pepper,5,355 mL can,355,,,,,,,"Original, Cherry, Cream Soda, Zero Sugar",41,55,Not listed,40,150,HFCS,23-flavour soda,,,,
,,Canada Dry,Canada Dry Ginger Ale,5,355 mL can,355,,,,,,,"Original, Diet, Cranberry, Lemonade",0,35,Not listed,36,140,HFCS,Real ginger ale (no functional claim),,,,
,,Schweppes,Schweppes Ginger Ale,5,355 mL can,355,,,,,,,"Original, Diet, Club Soda, Tonic Water",0,40,Not listed,33,130,HFCS,Ginger ale + mixers,,,,
,,A&W,A&W Root Beer,5,355 mL can,355,,,,,,,"Original, Diet, Cream Soda",0,45,Not listed,46,170,HFCS,Caffeine-free root beer,,,,
,,Crush,Crush Orange,5,355 mL can,355,,,,,,,"Orange, Grape, Pineapple, Cream Soda",0,45,Not listed,49,180,HFCS,Bold fruit soda,,,,
,,Fresca,Fresca Sparkling,5,355 mL can,355,,,,,,,"Original Citrus, Black Cherry, Peach",0,35,Not listed,0,0,Aspartame + acesulfame-K,Zero sugar grapefruit-citrus,,,,
,,Sunkist,Sunkist Orange,5,355 mL can,355,,,,,,,"Orange, Grape, Strawberry, Diet",19,45,Not listed,51,190,HFCS,Bright orange soda,,,,
,,Mug,Mug Root Beer,5,355 mL can,355,,,,,,,"Original, Diet, Cream Soda",0,65,Not listed,43,160,HFCS,Caffeine-free root beer,,,,
,,Dasani,Dasani Sparkling Water,5,355 mL can,355,,,,,,,"Black Cherry, Lemon, Berry, Tropical Pineapple",0,0,Not listed,0,0,None (natural flavours),Zero-calorie flavoured sparkling water,,,,
,,Smartwater,Smartwater Sparkling,5,591 mL bottle,591,,,,,,,"Original, Lemon, Cucumber-Lime, Watermelon-Mint",0,0,Not listed,0,0,None,Vapor-distilled sparkling water w/ electrolytes added,,,,
